batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
271,15:21:01,7.773,1.787,6.136,1.985,3.575,7.717,4.307,7.555,8.014,7.018
270,18:10:02,7.773,1.787,6.136,1.985,3.575,7.717,4.307,7.555,8.014,7.018
477,15:36:23,7.773,1.787,6.136,1.985,3.575,7.717,4.307,7.555,8.014,7.018
802,17:12:30,7.773,1.787,6.136,1.985,3.575,7.717,4.307,7.555,8.014,7.018
729,07:50:35,7.773,1.787,6.136,1.985,3.575,7.717,4.307,7.555,8.014,7.018
897,02:55:14,7.773,1.787,6.136,1.985,3.575,7.717,4.307,7.555,8.014,7.018
494,01:59:24,7.773,1.787,6.136,1.985,3.575,7.717,4.307,7.555,8.014,7.018
225,20:53:26,7.773,1.787,6.136,1.985,3.575,7.717,4.307,7.555,8.014,7.018
676,22:13:59,7.773,1.787,6.136,1.985,3.575,7.717,4.307,7.555,8.014,7.018
219,09:03:29,7.773,1.787,6.136,1.985,3.575,7.717,4.307,7.555,8.014,7.018
