bach_id,tmestamp,reaing1,reaing2,readng3,readng4,reding5,reaing6,readig7,reading,readig9,readin10
551,20:05:12,5.89,6.68,8.904,4.678,1.567,7.96,6.092,2.803,5.944,2.552
371,11:52:15,1.14,3.761,8.295,8.936,8.863,8.142,1.356,4.71,8.069,8.876
321,04:54:37,7.161,1.011,6.123,5.198,8.868,9.249,6.637,6.7,9.347,4.771
135,01:27:14,7.61,1.6,9.777,3.856,2.213,2.34,5.762,6.56,9.879,2.574
336,11:52:14,6.035,1.527,1.975,8.251,6.772,1.136,6.409,8.416,6.005,2.477
419,17:49:58,3.982,6.97,6.437,4.733,3.018,5.565,8.942,9.001,1.057,8.032
699,18:37:23,8.599,6.802,4.233,1.316,3.633,6.632,1.154,8.105,3.685,4.265
867,11:50:29,9.812,7.671,5.492,4.175,4.662,9.741,1.237,4.672,5.57,7.618
457,19:26:34,2.064,9.595,4.052,5.284,3.658,7.514,8.641,5.938,5.244,8.71
274,10:07:47,5.257,5.909,8.318,5.208,7.081,2.983,8.242,1.843,1.07,2.999
