batch_d,tmestamp,reading,readig2,reaing3,readig4,readin5,rading6,reading,rading8,readig9,eading10
549,23:36:31,2.182,1.851,1.596,1.366,9.566,8.354,1.501,3.855,8.098,5.554
709,20:10:03,5.965,3.482,2.728,2.471,2.246,8.742,5.481,3.503,4.407,8.594
982,11:02:37,6.607,8.566,8.205,1.754,3.745,3.207,3.825,5.83,9.121,8.891
115,14:55:32,4.501,3.877,5.492,2.278,4.793,4.161,5.484,7.254,6.203,2.507
155,07:51:24,7.321,3.066,7.19,7.888,7.186,4.837,6.049,5.955,5.361,3.87
934,09:55:52,8.976,8.502,8.35,6.09,3.0,7.107,9.733,2.015,2.125,2.33
108,19:31:18,6.418,5.921,6.595,9.373,4.444,3.08,4.398,1.717,7.94,8.721
108,02:37:08,9.538,9.114,1.425,2.332,8.243,3.657,6.624,6.329,3.607,3.594
646,19:41:58,4.726,2.967,8.883,3.752,2.934,7.816,7.817,9.203,7.561,8.248
712,14:51:54,2.761,6.885,7.342,1.218,8.149,7.504,1.899,1.665,9.814,1.957
