batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
313,11:42:06,3.778,3.083,2.395,5.342,6.737,6.811,7.251,3.848,2.492,5.173
94,09:58:24,7.907,5.024,4.898,1.192,8.694,9.747,3.806,6.716,9.542,3.754
821,18:30:18,3.741,1.621,1.749,1.999,3.943,2.298,2.871,2.521,6.102,2.682
238,04:33:35,8.122,9.667,5.852,4.207,8.774,3.342,8.212,1.829,3.917,7.75
966,10:03:55,3.423,1.674,2.233,5.033,6.084,6.308,3.686,4.81,5.958,2.473
42,15:45:10,1.124,4.799,8.376,9.708,7.515,5.679,9.563,4.633,1.206,9.256
952,10:36:22,8.388,4.306,3.798,2.653,7.411,7.834,5.067,3.08,4.85,5.844
427,23:05:39,7.114,5.452,4.737,4.011,8.787,6.235,9.408,1.697,3.568,9.595
232,04:24:37,9.148,7.776,6.801,8.815,4.451,6.827,8.304,4.112,8.468,2.567
204,12:01:09,6.159,5.107,9.785,1.19,9.741,3.727,9.231,6.915,1.59,6.655
