batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
264,01:55:07,4.515,7.56,6.487,1.07,8.861,1.596,6.947,1.046,7.487,8.564
862,03:40:01,1.149,9.02,9.27,7.479,4.43,4.532,4.362,4.262,8.972,6.896
383,23:18:34,6.189,3.274,8.117,9.172,1.786,7.06,6.655,4.151,7.576,7.202
526,11:13:01,8.212,2.882,7.265,4.966,8.689,7.419,2.013,2.296,8.852,5.059
874,20:38:34,6.151,1.949,6.27,5.657,1.077,9.634,5.063,3.665,5.35,5.781
297,08:11:26,1.834,5.16,8.666,2.524,8.809,7.199,1.364,9.018,8.838,6.134
388,10:23:35,9.373,8.035,2.358,2.078,3.27,4.646,9.424,8.973,4.459,4.07
309,12:36:33,7.42,5.68,5.101,8.758,7.73,1.139,4.829,4.039,9.198,2.188
401,05:49:17,5.648,8.786,8.809,1.066,3.865,2.989,1.367,5.927,5.22,9.785
623,22:09:12,2.712,8.657,7.676,3.455,5.4,1.807,4.496,9.887,5.842,5.425
